fold,agent,count
1,CamelliaDragons1,15
1,CanisLupus1,15
1,GAIT1,10
1,GPTaku1,15
1,ai168wolf1,15
1,kanolab1,16
1,mille1,16
1,osawalab1,17
1,sunamelli1,16
2,CamelliaDragons1,14
2,CanisLupus1,16
2,GAIT1,10
2,GPTaku1,16
2,ai168wolf1,13
2,kanolab1,17
2,mille1,18
2,osawalab1,16
2,sunamelli1,15
3,CamelliaDragons1,13
3,CanisLupus1,16
3,GAIT1,10
3,GPTaku1,14
3,ai168wolf1,15
3,kanolab1,16
3,mille1,17
3,osawalab1,20
3,sunamelli1,14
4,CamelliaDragons1,14
4,CanisLupus1,16
4,GAIT1,9
4,GPTaku1,12
4,ai168wolf1,15
4,kanolab1,16
4,mille1,15
4,osawalab1,17
4,sunamelli1,16
5,CamelliaDragons1,14
5,CanisLupus1,15
5,GAIT1,11
5,GPTaku1,15
5,ai168wolf1,16
5,kanolab1,17
5,mille1,14
5,osawalab1,16
5,sunamelli1,17
